Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00001831,F58A4.3,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics: CENP,"hcp-3 is an ortholog of human CENPA (centromere protein A)\; is predicted to have DNA binding activity and protein heterodimerization activity\; is involved in several processes, including embryo development, kinetochore assembly, and protein localization to organelle\; localizes to the condensed chromosome, centromeric region and nucleus\; colocalizes with the kinetochore\; is expressed in the embryonic cell, the hyp3, the hyp4, the hyp7 syncytium, and the seam cell."
WBGene00001603,K03H1.1,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,gln-2 is an ortholog of human GLUL\; is predicted to have ATP binding activity and glutamate-ammonia ligase activity\; is expressed in the germ line.
WBGene00010538,K03H1.3,Unassigned,Unassigned,Unassigned,ttr-3 is expressed in the seam cell and the ventral cord blast cell\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily.
WBGene00010539,K03H1.4,Unassigned,Unassigned,Unassigned,"ttr-2 is enriched in the germ line, the hypodermis, the intestine, and the muscle cell based on proteomic, Chronogram, tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, proteomic, and RNA-seq studies\; is affected by seven chemicals including 1-methylnicotinamide, Rotenone, and manganese chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily."
WBGene00003956,ZK112.1,Proteolysis general,Proteolysis general: carboxypeptidase,Proteolysis general: carboxypeptidase,pcp-1 is an ortholog of human PRCP\; is predicted to have serine-type peptidase activity\; is expressed in the intestine.
WBGene00013987,ZK512.8,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ZK512.8 is enriched in the NSM, the arcade cell, the germ line, the male, and the pharyngeal-intestinal valve cell based on proteomic, tiling array, and RNA-seq studies\; is affected by several genes including glp-1, let-7, and dpy-10 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by twelve chemicals including Ethanol, nicotinic acid, and methylmercuric chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF5386."
WBGene00002015,T27E4.8,Stress response,Stress response: heat,Stress response: heat,"hsp-16.1 is an ortholog of human CRYAA (crystallin alpha A), CRYAB (crystallin alpha B), and HSPB1 (heat shock protein family B (small) member 1)\; is predicted to have unfolded protein binding activity\; is involved in response to heat\; localizes to the Golgi medial cisterna\; is expressed in several tissues, including the alimentary system, the coelomocyte, the gonad, the muscular system, and the nervous system\; human orthologs of this gene are implicated in several diseases, including Charcot-Marie-Tooth disease axonal type 2F, cataract (multiple), and myofibrillar myopathy (multiple)."
WBGene00003995,K08E7.9,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-1 is an ortholog of human ABCB1 (ATP binding cassette subfamily B member 1), ABCB11 (ATP binding cassette subfamily B member 11), and ABCB4 (ATP binding cassette subfamily B member 4)\; is predicted to have efflux transmembrane transporter activity\; is involved in several processes, including defense response to Gram-negative bacterium, innate immune response, and response to metal ion\; localizes to the apical plasma membrane\; is expressed in the intestine and the pharynx."
WBGene00003893,C44B12.2,Extracellular material,Extracellular material: matrix,Extracellular material: matrix,"ost-1 is an ortholog of human SPARC (secreted protein acidic and cysteine rich)\; exhibits calcium ion binding activity\; localizes to the basement membrane and extracellular space\; is expressed in several tissues, including the alimentary system, the head, the muscular system, and the reproductive system\; human orthologs of this gene are implicated in osteogenesis imperfecta type 17."
WBGene00004392,C03C10.3,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"rnr-2 is an ortholog of human RRM2 and RRM2B\; is predicted to have metal ion binding activity and ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor\; is involved in embryo development\; is expressed in the gonad and the intestine\; human orthologs of this gene are implicated in mitochondrial DNA depletion syndrome 8a."
WBGene00000785,W07B8.5,Proteolysis general,Proteolysis general: cysteine,Proteolysis general: cysteine: unassigned,cpr-5 is an ortholog of human CTSB (cathepsin B)\; is predicted to have cysteine-type peptidase activity.
WBGene00017969,F32A5.3,Proteolysis general,Proteolysis general: cysteine,Proteolysis general: cysteine: cathepsin,F32A5.3 is an ortholog of human CTSA (cathepsin A)\; is predicted to have serine-type carboxypeptidase activity\; localizes to the membrane raft.
WBGene00000133,C05E11.4,Transmembrane transport,Transmembrane transport: ammonium,Transmembrane transport: ammonium,amt-1 is predicted to have ammonium transmembrane transporter activity.
WBGene00004965,F48C1.7,Development,Development: general,Development: general,spe-11 is involved in eggshell formation and prevention of polyspermy\; localizes to the nucleus.
WBGene00001149,K02A4.1,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"bcat-1 is an ortholog of human BCAT1 and BCAT2 (branched chain amino acid transaminase 2)\; is predicted to have L-isoleucine transaminase activity, L-leucine transaminase activity, and L-valine transaminase activity\; is involved in embryo development and nematode larval development\; localizes to the mitochondrion\; is expressed in several tissues, including the alimentary system, the hypodermis, the muscular system, the nervous system, and the reproductive system."
WBGene00006925,K09F5.2,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,vit-1 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity.
WBGene00022856,ZK1127.10,Metabolism,Metabolism: 1CC,Metabolism: 1CC: transsulfuration,"cth-2 is an ortholog of human CTH\; is predicted to have carbon-sulfur lyase activity and pyridoxal phosphate binding activity\; localizes to the endoplasmic reticulum\; is expressed in the anal depressor muscle, the body wall musculature, the hypodermis, and the reproductive system\; human orthologs of this gene are implicated in cystathioninuria."
WBGene00000216,H22K11.1,Proteolysis general,Proteolysis general: aspartate,Proteolysis general: aspartate: unassigned,"asp-3 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity\; is involved in necrotic cell death\; localizes to the lysosome\; is expressed in the intestine and uterus."
WBGene00018984,F56F10.1,Proteolysis general,Proteolysis general: serine,Proteolysis general: serine,F56F10.1 is an ortholog of human PRSS16 (serine protease 16)\; is predicted to have serine-type peptidase activity\; is involved in innate immune response\; localizes to the membrane raft.
WBGene00011262,R13H4.3,Lysosome,Lysosome: acid phosphatase,Lysosome: acid phosphatase,"pho-8 is an ortholog of human ACP2 (acid phosphatase 2, lysosomal), ACP4 (acid phosphatase 4), and ACPP (acid phosphatase, prostate)\; human ACPP exhibits phosphatase activity and protein homodimerization activity."
WBGene00015922,C17H11.2,Unassigned,Unassigned,Unassigned,"C17H11.2 is enriched in the OLL, the PVD, and the germline precursor cell based on microarray and RNA-seq studies\; is affected by several genes including dpy-10, sir-2.1, and pgl-1 based on microarray, RNA-seq, and tiling array studies\; is affected by Zidovudine, paraquat, and Sirolimus based on RNA-seq and microarray studies."
WBGene00000761,C24A11.9,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: ubiquinone ,"coq-1 is an ortholog of human PDSS1\; is predicted to have transferase activity, transferring alkyl or aryl (other than methyl) groups\; is involved in ubiquinone biosynthetic process\; human orthologs of this gene are implicated in primary coenzyme Q10 deficiency 2."
WBGene00004217,C32E8.8,Signaling,Signaling: hedgehog-like,Signaling: hedgehog-like,"ptr-2 is an ortholog of human PTCHD1 and PTCHD4\; is predicted to have transmembrane transporter activity\; is involved in mitotic cytokinesis, molting cycle, and nematode male tail tip morphogenesis."
WBGene00001430,C50F2.6,Chaperone,Chaperone: cyclophilin,Chaperone: cyclophilin,fkb-5 is an ortholog of human FKBP10 (FKBP prolyl isomerase 10) and FKBP9 (FKBP prolyl isomerase 9)\; is predicted to have peptidyl-prolyl cis-trans isomerase activity\; is expressed in the hypodermis.
WBGene00001754,F11G11.3,Stress response,Stress response: detoxification,Stress response: detoxification: GST,"gst-6 is an ortholog of human GSTA4 (glutathione S-transferase alpha 4), GSTA5 (glutathione S-transferase alpha 5), and HPGDS (hematopoietic prostaglandin D synthase)\; is predicted to have glutathione transferase activity\; is involved in innate immune response."
WBGene00020187,T03F1.5,Signaling,Signaling: phosphatase,Signaling: phosphatase: unassigned,"gsp-4 is an ortholog of human PPP1CB (protein phosphatase 1 catalytic subunit beta)\; is predicted to have metal ion binding activity and phosphoprotein phosphatase activity\; is involved in several processes, including flagellated sperm motility, male meiosis chromosome segregation, and oviposition\; localizes to the cytoplasm, nuclear chromatin, and pseudopodium\; is expressed in the ILsoDL, the ILsoVL, the anal sphincter muscle, the intestine, and the sperm."
WBGene00002039,T10H10.1,Muscle function,Muscle function,Muscle function,hum-6 is an ortholog of human MYO7A (myosin VIIA) and MYO7B (myosin VIIB)\; exhibits transcription factor binding activity.
WBGene00020613,T20D4.7,Unassigned,Unassigned,Unassigned,T20D4.7 is an ortholog of human NXNL1 (nucleoredoxin like 1) and NXNL2 (nucleoredoxin like 2)\; is predicted to encode a protein with the following domains: Thioredoxin-like fold and Thioredoxin-like superfamily.
WBGene00020710,T23B3.2,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"T23B3.2 is enriched in several tissues, including the excretory cell, the germ line, the hypodermis, the muscular system, and the nervous system based on tiling array, RNA-seq, proteomic, and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on tiling array, microarray, RNA-seq, and proteomic studies\; is affected by eleven chemicals including aldicarb, 1-methylnicotinamide, and methylmercuric chloride based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Proteolipid membrane potential modulator."
WBGene00021114,W09C3.7,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"W09C3.7 is enriched in the germ line, the hypodermis, and the male based on RNA-seq studies\; is affected by several genes including hsf-1, clk-1, and sir-2.1 based on microarray, tiling array, and RNA-seq studies\; is affected by eleven chemicals including Ethanol, manganese chloride, and Zidovudine based on RNA-seq and microarray studies."
WBGene00044070,T22A3.4,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"set-18 is an ortholog of human SMYD3 (SET and MYND domain containing 3)\; localizes to the endoplasmic reticulum, sarcomere, and striated muscle dense body\; is expressed in several tissues, including the alimentary system, the muscular system, and the reproductive system."
WBGene00015793,C15C7.7,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,C15C7.7 is an ortholog of human POFUT1 (protein O-fucosyltransferase 1)\; exhibits peptide-O-fucosyltransferase activity\; is involved in protein O-linked fucosylation\; human orthologs of this gene are implicated in Dowling-Degos disease.
